lema,zipf,rareza,categoria_provisional,silabas,acentuacion
de,7.81,comun,,1,aguda
que,7.52,comun,,1,aguda
el,7.45,comun,,1,aguda
en,7.45,comun,,1,aguda
y,7.44,comun,,1,aguda
a,7.36,comun,,1,aguda
no,7.16,comun,,1,aguda
por,7.04,comun,,1,aguda
del,7.01,comun,,1,aguda
con,6.97,comun,,1,aguda
para,6.92,comun,,2,llana
su,6.78,comun,,1,aguda
al,6.74,comun,,1,aguda
como,6.73,comun,,2,llana
más,6.63,comun,,1,aguda
pero,6.57,comun,,2,llana
o,6.51,comun,,1,aguda
mi,6.43,comun,,1,aguda
este,6.37,comun,,2,llana
todo,6.35,comun,,2,llana
ya,6.33,comun,,1,aguda
cuando,6.29,comun,,2,llana
yo,6.29,comun,,1,aguda
ser,6.27,comun,,1,aguda
son,6.26,comun,,1,aguda
sin,6.24,comun,,1,aguda
tu,6.22,comun,,1,aguda
sobre,6.19,comun,,2,llana
también,6.19,comun,,2,aguda
nos,6.14,comun,,1,aguda
porque,6.14,comun,,2,llana
qué,6.13,comun,,1,aguda
así,6.12,comun,,2,aguda
dos,6.12,comun,,1,aguda
bien,6.11,comun,,1,aguda
entre,6.11,comun,,2,llana
desde,6.1,comun,,2,llana
hasta,6.09,comun,,2,llana
hacer,6.07,comun,verbo,2,aguda
ahora,6.05,comun,,3,llana
vez,6.04,comun,,1,aguda
nada,6.02,comun,,2,llana
ni,6.02,comun,,1,aguda
donde,6.01,comun,,2,llana
parte,6.0,comun,,2,llana
solo,6.0,comun,,2,llana
algo,5.99,comun,,2,llana
tiempo,5.97,comun,,2,llana
día,5.96,comun,,2,llana
uno,5.96,comun,,2,llana
mejor,5.95,comun,,2,aguda
mucho,5.95,comun,,2,llana
tan,5.95,comun,,1,aguda
ver,5.95,comun,,1,aguda
vida,5.95,comun,,2,llana
e,5.93,comun,,1,aguda
ese,5.93,comun,,2,llana
mismo,5.93,comun,,2,llana
siempre,5.93,comun,,2,llana
cada,5.9,comun,,2,llana
después,5.9,comun,,2,aguda
gente,5.9,comun,,2,llana
estado,5.89,comun,,3,llana
mundo,5.89,comun,,2,llana
año,5.88,comun,,2,llana
mas,5.87,comun,,1,aguda
otro,5.87,comun,,2,llana
gran,5.84,comun,,1,aguda
menos,5.84,comun,,2,llana
nunca,5.84,comun,,2,llana
tanto,5.84,comun,,2,llana
antes,5.82,comun,,2,llana
poco,5.82,comun,,2,llana
tener,5.81,comun,verbo,2,aguda
trabajo,5.81,comun,,3,llana
durante,5.8,comun,,3,llana
lugar,5.8,comun,,2,aguda
cómo,5.79,comun,,2,llana
hecho,5.79,comun,,2,llana
aunque,5.78,comun,,2,llana
contra,5.78,comun,,2,llana
cuenta,5.78,comun,,2,llana
decir,5.78,comun,verbo,2,aguda
gobierno,5.78,comun,,3,llana
país,5.78,comun,,2,aguda
casa,5.77,comun,,2,llana
forma,5.77,comun,,2,llana
nuevo,5.77,comun,,2,llana
él,5.76,comun,,1,aguda
aquí,5.75,comun,,2,aguda
sí,5.75,comun,,1,aguda
estar,5.74,comun,verbo,2,aguda
hoy,5.74,comun,,1,aguda
alguien,5.73,comun,,2,llana
quien,5.72,comun,,1,aguda
tres,5.72,comun,,1,aguda
caso,5.71,comun,,2,llana
momento,5.71,comun,,3,llana
bueno,5.7,comun,,2,llana
ciudad,5.7,comun,,2,aguda
nuestro,5.7,comun,,2,llana
luego,5.69,comun,,2,llana
nacional,5.69,comun,,3,aguda
poder,5.68,comun,,2,aguda
pues,5.68,comun,,1,aguda
verdad,5.68,comun,,2,aguda
historia,5.67,comun,,3,llana
mientras,5.67,comun,,2,llana
nadie,5.67,comun,,2,llana
nueva,5.67,comun,,2,llana
primera,5.67,comun,,3,llana
cual,5.65,comun,,1,aguda
debe,5.65,comun,,2,llana
entonces,5.65,comun,,3,llana
ir,5.65,comun,verbo,1,aguda
tipo,5.65,comun,,2,llana
general,5.64,comun,,3,aguda
mayor,5.64,comun,,2,aguda
tal,5.64,comun,,1,aguda
además,5.63,comun,,3,aguda
mal,5.62,comun,,1,aguda
según,5.62,comun,,2,aguda
acuerdo,5.61,comun,,3,llana
dios,5.61,comun,,1,aguda
manera,5.61,comun,,3,llana
nombre,5.61,comun,,2,llana
ley,5.6,comun,,1,aguda
medio,5.6,comun,,2,llana
partido,5.6,comun,,3,llana
bajo,5.59,comun,,2,llana
hacia,5.59,comun,,2,llana
sino,5.59,comun,,2,llana
grupo,5.58,comun,,2,llana
haber,5.58,comun,verbo,2,aguda
hombre,5.58,comun,,2,llana
mujer,5.57,comun,,2,aguda
persona,5.56,comun,,3,llana
sistema,5.56,comun,,3,llana
casi,5.55,comun,,2,llana
fin,5.55,comun,,1,aguda
noche,5.55,comun,,2,llana
nosotros,5.55,comun,,3,llana
pasado,5.55,comun,,3,llana
presidente,5.55,comun,,4,llana
ahí,5.53,comun,,2,aguda
cosa,5.53,comun,,2,llana
dentro,5.53,comun,,2,llana
familia,5.53,comun,,3,llana
lado,5.53,comun,,2,llana
aún,5.52,comun,,2,aguda
pueblo,5.51,comun,,2,llana
final,5.5,comun,,2,aguda
política,5.5,comun,,4,esdrujula
problema,5.5,comun,,3,llana
punto,5.5,comun,,2,llana
agua,5.49,comun,,2,llana
equipo,5.49,comun,,3,llana
guerra,5.49,comun,,2,llana
saber,5.49,comun,,2,aguda
ante,5.48,comun,,2,llana
dar,5.48,comun,verbo,1,aguda
embargo,5.48,comun,,3,llana
favor,5.48,comun,,2,aguda
importante,5.48,comun,,4,llana
información,5.48,comun,,4,aguda
mañana,5.48,comun,,3,llana
pasa,5.48,comun,,2,llana
semana,5.48,comun,,3,llana
claro,5.47,comun,,2,llana
dinero,5.47,comun,,3,llana
san,5.47,comun,,1,aguda
social,5.47,comun,,2,aguda
ejemplo,5.46,comun,,3,llana
igual,5.46,comun,,2,aguda
número,5.46,comun,,3,esdrujula
ti,5.46,comun,,1,aguda
hablar,5.45,comun,verbo,2,aguda
hora,5.45,comun,,2,llana
madre,5.45,comun,,2,llana
señor,5.45,comun,,2,aguda
centro,5.44,comun,,2,llana
derecho,5.44,comun,,3,llana
falta,5.44,comun,,2,llana
cambio,5.43,comun,,2,llana
idea,5.43,comun,,3,llana
mierda,5.43,comun,,2,llana
muerte,5.43,comun,,2,llana
tarde,5.43,comun,,2,llana
través,5.43,comun,,2,aguda
tú,5.43,comun,,1,aguda
realidad,5.42,comun,,4,aguda
amor,5.41,comun,,2,aguda
dicho,5.41,comun,,2,llana
frente,5.41,comun,,2,llana
incluso,5.41,comun,,3,llana
primero,5.41,comun,,3,llana
real,5.41,comun,,2,aguda
cuatro,5.4,comun,,2,llana
desarrollo,5.4,comun,,4,llana
hijo,5.4,comun,,2,llana
sociedad,5.4,comun,,3,aguda
tema,5.4,comun,,2,llana
mí,5.39,comun,,1,aguda
nivel,5.39,comun,,2,aguda
seguro,5.39,comun,,3,llana
juego,5.38,comun,,2,llana
llegar,5.38,comun,verbo,2,aguda
mano,5.38,comun,,2,llana
paso,5.38,comun,,2,llana
posible,5.38,comun,,3,llana
proyecto,5.38,comun,,3,llana
uso,5.38,comun,,2,llana
artículo,5.37,comun,,4,esdrujula
cerca,5.37,comun,,2,llana
cierto,5.37,comun,,2,llana
grande,5.37,comun,,2,llana
quién,5.37,comun,,1,aguda
razón,5.37,comun,,2,aguda
todavía,5.37,comun,,4,llana
amigo,5.36,comun,,3,llana
i,5.36,comun,,1,aguda
mayoría,5.36,comun,,4,llana
padre,5.36,comun,,2,llana
salir,5.36,comun,verbo,2,aguda
seguridad,5.36,comun,,4,aguda
tierra,5.36,comun,,2,llana
único,5.36,comun,,3,esdrujula
cuerpo,5.35,comun,,2,llana
programa,5.35,comun,,3,llana
segundo,5.35,comun,,3,llana
universidad,5.35,comun,,5,aguda
último,5.35,comun,,3,esdrujula
cabeza,5.34,comun,,3,llana
foto,5.34,comun,,2,llana
haya,5.34,comun,,2,llana
internacional,5.34,comun,,5,aguda
mil,5.34,comun,,1,aguda
pasar,5.34,comun,verbo,2,aguda
público,5.34,comun,,3,esdrujula
seguir,5.34,comun,verbo,2,aguda
servicio,5.34,comun,,3,llana
situación,5.34,comun,,3,aguda
ayuda,5.33,comun,,3,llana
juan,5.33,comun,,1,aguda
libro,5.33,comun,,2,llana
siguiente,5.33,comun,,3,llana
dejar,5.32,comun,verbo,2,aguda
educación,5.32,comun,,4,aguda
proceso,5.32,comun,,3,llana
sentido,5.32,comun,,3,llana
cinco,5.31,comun,,2,llana
clase,5.31,comun,,2,llana
cuanto,5.31,comun,,2,llana
ello,5.31,comun,,2,llana
mes,5.31,comun,,1,aguda
usted,5.31,comun,,2,aguda
largo,5.3,comun,,2,llana
orden,5.3,comun,,2,llana
puesto,5.3,comun,,2,llana
alto,5.29,comun,,2,llana
demás,5.29,comun,,2,aguda
español,5.29,comun,,3,aguda
junto,5.29,comun,,2,llana
lista,5.29,comun,,2,llana
personal,5.29,comun,,3,aguda
total,5.29,comun,,2,aguda
trata,5.29,comun,,2,llana
video,5.29,comun,,3,llana
web,5.29,comun,,1,aguda
base,5.28,comun,,2,llana
camino,5.28,comun,,3,llana
empresa,5.28,comun,,3,llana
especial,5.28,comun,,3,aguda
hola,5.28,comun,,2,llana
paz,5.28,comun,,1,aguda
policía,5.28,comun,,4,llana
queda,5.28,comun,,2,llana
salud,5.28,comun,,2,aguda
sitio,5.28,comun,,2,llana
tomar,5.28,comun,verbo,2,aguda
zona,5.28,comun,,2,llana
calle,5.27,comun,,2,llana
cara,5.27,comun,,2,llana
línea,5.27,comun,,3,esdrujula
mundial,5.27,comun,,2,aguda
obra,5.27,comun,,2,llana
os,5.27,comun,,1,aguda
pensar,5.27,comun,verbo,2,aguda
allí,5.26,comun,,2,aguda
atención,5.26,comun,,3,aguda
escuela,5.26,comun,,3,llana
julio,5.26,comun,,2,llana
respecto,5.26,comun,,3,llana
ve,5.26,comun,,1,aguda
vivir,5.26,comun,verbo,2,aguda
capital,5.25,comun,,3,aguda
libre,5.25,comun,,2,llana
luz,5.25,comun,,1,aguda
población,5.25,comun,,3,aguda
relación,5.25,comun,,3,aguda
suerte,5.25,comun,,2,llana
bastante,5.24,comun,,3,llana
cultura,5.24,comun,,3,llana
difícil,5.24,comun,,3,llana
fuerte,5.24,comun,,2,llana
fácil,5.24,comun,,2,llana
habla,5.24,comun,,2,llana
miedo,5.24,comun,,2,llana
música,5.24,comun,,3,esdrujula
poner,5.24,comun,verbo,2,aguda
pregunta,5.24,comun,,3,llana
rey,5.24,comun,,1,aguda
vos,5.24,comun,,1,aguda
apoyo,5.23,comun,,3,llana
dado,5.23,comun,,2,llana
deja,5.23,comun,,2,llana
demasiado,5.23,comun,,4,llana
fuerza,5.23,comun,,2,llana
mayo,5.23,comun,,2,llana
oficial,5.23,comun,,3,aguda
propio,5.23,comun,,2,llana
chile,5.22,comun,,2,llana
control,5.22,comun,,2,aguda
encontrar,5.22,comun,verbo,3,aguda
inglés,5.22,comun,,2,aguda
marzo,5.22,comun,,2,llana
peor,5.22,comun,,2,aguda
serie,5.22,comun,,2,llana
sur,5.22,comun,,1,aguda
trabajar,5.22,comun,verbo,3,aguda
edad,5.21,comun,,2,aguda
futuro,5.21,comun,,3,llana
justicia,5.21,comun,,3,llana
libertad,5.21,comun,,3,aguda
pesar,5.21,comun,verbo,2,aguda
tampoco,5.21,comun,,3,llana
allá,5.2,comun,,2,aguda
cantidad,5.2,comun,,3,aguda
corazón,5.2,comun,,3,aguda
diciembre,5.2,comun,,3,llana
imagen,5.2,comun,,3,llana
norte,5.2,comun,,2,llana
octubre,5.2,comun,,3,llana
político,5.2,comun,,4,esdrujula
principal,5.2,comun,,3,aguda
vista,5.2,comun,,2,llana
volver,5.2,comun,verbo,2,aguda
voz,5.2,comun,,1,aguda
actual,5.19,comun,,2,aguda
ambos,5.19,comun,,2,llana
estudio,5.19,comun,,3,llana
media,5.19,comun,,2,llana
mira,5.19,comun,,2,llana
modo,5.19,comun,,2,llana
palabra,5.19,comun,,3,llana
abril,5.18,comun,,2,aguda
campo,5.18,comun,,2,llana
internet,5.18,comun,,3,aguda
joven,5.18,comun,,2,llana
plan,5.18,comun,,1,aguda
región,5.18,comun,,2,aguda
comunidad,5.17,comun,,4,aguda
dirección,5.17,comun,,3,aguda
investigación,5.17,comun,,5,aguda
junio,5.17,comun,,2,llana
partir,5.17,comun,verbo,2,aguda
película,5.17,comun,,4,esdrujula
república,5.17,comun,,4,esdrujula
resto,5.17,comun,,2,llana
vuelta,5.17,comun,,2,llana
consejo,5.16,comun,,3,llana
dónde,5.16,comun,,2,llana
llamado,5.16,comun,,3,llana
mercado,5.16,comun,,3,llana
movimiento,5.16,comun,,4,llana
noviembre,5.16,comun,,3,llana
papel,5.16,comun,,2,aguda
precio,5.16,comun,,2,llana
respuesta,5.16,comun,,3,llana
seis,5.16,comun,,1,aguda
agosto,5.15,comun,,3,llana
cargo,5.15,comun,,2,llana
comida,5.15,comun,,3,llana
enero,5.15,comun,,3,llana
experiencia,5.15,comun,,4,llana
jefe,5.15,comun,,2,llana
leer,5.15,comun,verbo,2,aguda
llama,5.15,comun,,2,llana
llevar,5.15,comun,verbo,2,aguda
pena,5.15,comun,,2,llana
producción,5.15,comun,,3,aguda
siglo,5.15,comun,,2,llana
cabo,5.14,comun,,2,llana
común,5.14,comun,,2,aguda
economía,5.14,comun,,5,llana
espacio,5.14,comun,,3,llana
febrero,5.14,comun,,3,llana
opinión,5.14,comun,,3,aguda
oportunidad,5.14,comun,,5,aguda
organización,5.14,comun,,5,aguda
página,5.14,comun,,3,esdrujula
vale,5.14,comun,,2,llana
acción,5.13,comun,,2,aguda
arte,5.13,comun,,2,llana
conocer,5.13,comun,verbo,3,aguda
plaza,5.13,comun,,2,llana
septiembre,5.13,comun,,3,llana
u,5.13,comun,,1,aguda
usar,5.13,comun,verbo,2,aguda
valor,5.13,comun,,2,aguda
vivo,5.13,comun,,2,llana
calidad,5.12,comun,,3,aguda
causa,5.12,comun,,2,llana
central,5.12,comun,,2,aguda
director,5.12,comun,,3,aguda
duda,5.12,comun,,2,llana
fecha,5.12,comun,,2,llana
feliz,5.12,comun,,2,aguda
iglesia,5.12,comun,,3,llana
necesario,5.12,comun,,4,llana
pronto,5.12,comun,,2,llana
resultado,5.12,comun,,4,llana
alta,5.11,comun,,2,llana
cambiar,5.11,comun,verbo,2,aguda
civil,5.11,comun,,2,aguda
hermano,5.11,comun,,3,llana
local,5.11,comun,,2,aguda
mar,5.11,comun,,1,aguda
viaje,5.11,comun,,2,llana
acá,5.1,comun,,2,aguda
alrededor,5.1,comun,,4,aguda
campaña,5.1,comun,,3,llana
carrera,5.1,comun,,3,llana
ejército,5.1,comun,,4,esdrujula
encima,5.1,comun,,3,llana
interés,5.1,comun,,3,aguda
mensaje,5.1,comun,,3,llana
negro,5.1,comun,,2,llana
niño,5.1,comun,,2,llana
objetivo,5.1,comun,,4,llana
popular,5.1,comun,verbo,3,aguda
principio,5.1,comun,,3,llana
provincia,5.1,comun,,3,llana
red,5.1,comun,,1,aguda
río,5.1,comun,,2,llana
ah,5.09,comun,,1,aguda
ayer,5.09,comun,verbo,2,aguda
blanco,5.09,comun,,2,llana
comer,5.09,comun,verbo,2,aguda
compañía,5.09,comun,,4,llana
ganar,5.09,comun,verbo,2,aguda
interior,5.09,comun,,3,aguda
lucha,5.09,comun,,2,llana
mediante,5.09,comun,,3,llana
nota,5.09,comun,,2,llana
pequeño,5.09,comun,,3,llana
prueba,5.09,comun,,2,llana
sol,5.09,comun,,1,aguda
vaya,5.09,comun,,2,llana
anterior,5.08,comun,,3,aguda
buscar,5.08,comun,verbo,2,aguda
espacio-tiempo,5.08,comun,,5,llana
justo,5.08,comun,,2,llana
medida,5.08,comun,,3,llana
éxito,5.08,comun,,3,esdrujula
aire,5.07,comun,,2,llana
américa,5.07,comun,,4,esdrujula
autor,5.07,comun,,2,aguda
baja,5.07,comun,,2,llana
diferencia,5.07,comun,,4,llana
dije,5.07,comun,,2,llana
entrar,5.07,comun,verbo,2,aguda
estilo,5.07,comun,,3,llana
ex,5.07,comun,,1,aguda
lejos,5.07,comun,,2,llana
luis,5.07,comun,,1,aguda
maría,5.07,comun,,3,llana
militar,5.07,comun,verbo,3,aguda
muestra,5.07,comun,,2,llana
oro,5.07,comun,,2,llana
par,5.07,comun,verbo,1,aguda
plata,5.07,comun,,2,llana
puerta,5.07,comun,,2,llana
ayudar,5.06,comun,verbo,3,aguda
canción,5.06,comun,,2,aguda
color,5.06,comun,,2,aguda
contigo,5.06,comun,,3,llana
defensa,5.06,comun,,3,llana
fondo,5.06,comun,,2,llana
fútbol,5.06,comun,,2,llana
menor,5.06,comun,,2,aguda
ministerio,5.06,comun,,4,llana
puerto,5.06,comun,,2,llana
recuerdo,5.06,comun,,3,llana
acceso,5.05,comun,,3,llana
busca,5.05,comun,,2,llana
comunicación,5.05,comun,,5,aguda
congreso,5.05,comun,,3,llana
espera,5.05,comun,,3,llana
evitar,5.05,comun,verbo,3,aguda
fuente,5.05,comun,,2,llana
jugar,5.05,comun,verbo,2,aguda
ministro,5.05,comun,,3,llana
puta,5.05,comun,,2,llana
siquiera,5.05,comun,,3,llana
época,5.05,comun,,3,esdrujula
actividad,5.04,comun,,4,aguda
banco,5.04,comun,,2,llana
conocido,5.04,comun,,4,llana
conseguir,5.04,comun,verbo,3,aguda
construcción,5.04,comun,,3,aguda
corte,5.04,comun,,2,llana
cualquiera,5.04,comun,,3,llana
departamento,5.04,comun,,5,llana
diez,5.04,comun,,1,aguda
mitad,5.04,comun,,2,aguda
oficina,5.04,comun,,4,llana
presente,5.04,comun,,3,llana
sector,5.04,comun,,2,aguda
serio,5.04,comun,,2,llana
superior,5.04,comun,,3,aguda
supuesto,5.04,comun,,3,llana
boca,5.03,comun,,2,llana
capacidad,5.03,comun,,4,aguda
comprar,5.03,comun,verbo,2,aguda
crear,5.03,comun,verbo,2,aguda
diferente,5.03,comun,,4,llana
energía,5.03,comun,,4,llana
esperar,5.03,comun,verbo,3,aguda
malo,5.03,comun,,2,llana
mantener,5.03,comun,verbo,3,aguda
modelo,5.03,comun,,3,llana
natural,5.03,comun,,3,aguda
necesidad,5.03,comun,,4,aguda
radio,5.03,comun,,2,llana
viejo,5.03,comun,,2,llana
administración,5.02,comun,,5,aguda
comisión,5.02,comun,,3,aguda
conmigo,5.02,comun,,3,llana
costa,5.02,comun,,2,llana
crisis,5.02,comun,,2,llana
culpa,5.02,comun,,2,llana
cámara,5.02,comun,,3,esdrujula
diario,5.02,comun,,2,llana
domingo,5.02,comun,,3,llana
empezar,5.02,comun,verbo,3,aguda
entender,5.02,comun,verbo,3,aguda
fuego,5.02,comun,,2,llana
perder,5.02,comun,verbo,2,aguda
posición,5.02,comun,,3,aguda
suficiente,5.02,comun,,4,llana
título,5.02,comun,,3,esdrujula
creer,5.01,comun,verbo,2,aguda
llamada,5.01,comun,,3,llana
mamá,5.01,comun,,2,aguda
participación,5.01,comun,,5,aguda
sangre,5.01,comun,,2,llana
toma,5.01,comun,,2,llana
violencia,5.01,comun,,3,llana
auto,5.0,comun,,2,llana
brasil,5.0,comun,,2,aguda
carta,5.0,comun,,2,llana
cuál,5.0,comun,,1,aguda
rápido,5.0,comun,,3,esdrujula
área,5.0,comun,,3,esdrujula
banda,4.99,poco_comun,,2,llana
colegio,4.99,poco_comun,,3,llana
contenido,4.99,poco_comun,,4,llana
decisión,4.99,poco_comun,,3,aguda
encuentro,4.99,poco_comun,,3,llana
entrada,4.99,poco_comun,,3,llana
fiesta,4.99,poco_comun,,2,llana
francisco,4.99,poco_comun,,3,llana
imposible,4.99,poco_comun,,4,llana
pagar,4.99,poco_comun,verbo,2,aguda
pedro,4.99,poco_comun,,2,llana
televisión,4.99,poco_comun,,4,aguda
unión,4.99,poco_comun,,2,aguda
vía,4.99,poco_comun,,2,llana
abajo,4.98,poco_comun,,3,llana
atrás,4.98,poco_comun,,2,aguda
capaz,4.98,poco_comun,,2,aguda
club,4.98,poco_comun,,1,aguda
error,4.98,poco_comun,,2,aguda
gusto,4.98,poco_comun,,2,llana
normal,4.98,poco_comun,,2,aguda
sexo,4.98,poco_comun,,2,llana
siete,4.98,poco_comun,,2,llana
texto,4.98,poco_comun,,2,llana
análisis,4.97,poco_comun,,4,esdrujula
apenas,4.97,poco_comun,,3,llana
constitución,4.97,poco_comun,,4,aguda
contrario,4.97,poco_comun,,3,llana
código,4.97,poco_comun,,3,esdrujula
dolor,4.97,poco_comun,,2,aguda
efecto,4.97,poco_comun,,3,llana
isla,4.97,poco_comun,,2,llana
izquierda,4.97,poco_comun,,3,llana
mente,4.97,poco_comun,,2,llana
odio,4.97,poco_comun,,2,llana
perú,4.97,poco_comun,,2,aguda
pienso,4.97,poco_comun,,2,llana
presencia,4.97,poco_comun,,3,llana
profesor,4.97,poco_comun,,3,aguda
quizás,4.97,poco_comun,,2,aguda
respeto,4.97,poco_comun,,3,llana
ropa,4.97,poco_comun,,2,llana
versión,4.97,poco_comun,,2,aguda
cielo,4.96,poco_comun,,2,llana
cine,4.96,poco_comun,,2,llana
cuestión,4.96,poco_comun,,2,aguda
escribir,4.96,poco_comun,verbo,3,aguda
española,4.96,poco_comun,,4,llana
formación,4.96,poco_comun,,3,aguda
importancia,4.96,poco_comun,,4,llana
industria,4.96,poco_comun,,3,llana
instituto,4.96,poco_comun,,4,llana
loco,4.96,poco_comun,,2,llana
origen,4.96,poco_comun,,3,llana
premio,4.96,poco_comun,,2,llana
re,4.96,poco_comun,,1,aguda
rico,4.96,poco_comun,,2,llana
simple,4.96,poco_comun,,2,llana
unidad,4.96,poco_comun,,3,aguda
vino,4.96,poco_comun,,2,llana
canal,4.95,poco_comun,,2,aguda
cultural,4.95,poco_comun,,3,aguda
derecha,4.95,poco_comun,,3,llana
escrito,4.95,poco_comun,,3,llana
interesante,4.95,poco_comun,,5,llana
jamás,4.95,poco_comun,,2,aguda
juicio,4.95,poco_comun,,2,llana
noticia,4.95,poco_comun,,3,llana
original,4.95,poco_comun,,4,aguda
peso,4.95,poco_comun,,2,llana
pobre,4.95,poco_comun,,2,llana
prensa,4.95,poco_comun,,2,llana
propiedad,4.95,poco_comun,,3,aguda
revolución,4.95,poco_comun,,4,aguda
victoria,4.95,poco_comun,,3,llana
york,4.95,poco_comun,,1,aguda
alma,4.94,poco_comun,,2,llana
asunto,4.94,poco_comun,,3,llana
conocimiento,4.94,poco_comun,,5,llana
hospital,4.94,poco_comun,,3,aguda
humano,4.94,poco_comun,,3,llana
marcha,4.94,poco_comun,,2,llana
pie,4.94,poco_comun,,1,aguda
tecnología,4.94,poco_comun,,5,llana
verano,4.94,poco_comun,,3,llana
aprender,4.93,poco_comun,verbo,3,aguda
conjunto,4.93,poco_comun,,3,llana
cuarto,4.93,poco_comun,,2,llana
curso,4.93,poco_comun,,2,llana
democracia,4.93,poco_comun,,4,llana
don,4.93,poco_comun,,1,aguda
fe,4.93,poco_comun,,1,aguda
género,4.93,poco_comun,,3,esdrujula
muerto,4.93,poco_comun,,2,llana
nación,4.93,poco_comun,,2,aguda
negocio,4.93,poco_comun,,3,llana
ocho,4.93,poco_comun,,2,llana
particular,4.93,poco_comun,verbo,4,aguda
posibilidad,4.93,poco_comun,,5,aguda
profesional,4.93,poco_comun,,4,aguda
régimen,4.93,poco_comun,,3,esdrujula
suelo,4.93,poco_comun,,2,llana
visita,4.93,poco_comun,,3,llana
ambiente,4.92,poco_comun,,3,llana
ataque,4.92,poco_comun,,3,llana
cuba,4.92,poco_comun,,2,llana
económico,4.92,poco_comun,,5,esdrujula
edificio,4.92,poco_comun,,4,llana
federal,4.92,poco_comun,,3,aguda
lengua,4.92,poco_comun,,2,llana
mesa,4.92,poco_comun,,2,llana
naturaleza,4.92,poco_comun,,5,llana
pago,4.92,poco_comun,,2,llana
protección,4.92,poco_comun,,3,aguda
sala,4.92,poco_comun,,2,llana
santiago,4.92,poco_comun,,3,llana
sueño,4.92,poco_comun,,2,llana
teléfono,4.92,poco_comun,,4,esdrujula
transporte,4.92,poco_comun,,3,llana
acto,4.91,poco_comun,,2,llana
asociación,4.91,poco_comun,,4,aguda
completo,4.91,poco_comun,,3,llana
cuidado,4.91,poco_comun,,3,llana
deseo,4.91,poco_comun,,3,llana
detrás,4.91,poco_comun,,2,aguda
doctor,4.91,poco_comun,,2,aguda
edición,4.91,poco_comun,,3,aguda
escuchar,4.91,poco_comun,verbo,3,aguda
informe,4.91,poco_comun,,3,llana
material,4.91,poco_comun,,3,aguda
pareja,4.91,poco_comun,,3,llana
perfecto,4.91,poco_comun,,3,llana
venta,4.91,poco_comun,,2,llana
confianza,4.9,poco_comun,,3,llana
creación,4.9,poco_comun,,3,aguda
destino,4.9,poco_comun,,3,llana
especie,4.9,poco_comun,,3,llana
esposa,4.9,poco_comun,,3,llana
hambre,4.9,poco_comun,,2,llana
legal,4.9,poco_comun,,2,aguda
obtener,4.9,poco_comun,verbo,3,aguda
pedir,4.9,poco_comun,verbo,2,aguda
perro,4.9,poco_comun,,2,llana
propuesta,4.9,poco_comun,,3,llana
responsabilidad,4.9,poco_comun,,6,aguda
reunión,4.9,poco_comun,,2,aguda
revista,4.9,poco_comun,,3,llana
solución,4.9,poco_comun,,3,aguda
territorio,4.9,poco_comun,,4,llana
to,4.9,poco_comun,,1,aguda
viernes,4.9,poco_comun,,2,llana
aplicación,4.89,poco_comun,,4,aguda
aumento,4.89,poco_comun,,3,llana
cama,4.89,poco_comun,,2,llana
ciencia,4.89,poco_comun,,2,llana
distancia,4.89,poco_comun,,3,llana
doble,4.89,poco_comun,,2,llana
marca,4.89,poco_comun,,2,llana
memoria,4.89,poco_comun,,3,llana
motivo,4.89,poco_comun,,3,llana
opción,4.89,poco_comun,,2,aguda
pase,4.89,poco_comun,,2,llana
práctica,4.89,poco_comun,,3,esdrujula
realizar,4.89,poco_comun,verbo,4,aguda
referencia,4.89,poco_comun,,4,llana
reforma,4.89,poco_comun,,3,llana
reino,4.89,poco_comun,,2,llana
resulta,4.89,poco_comun,,3,llana
riesgo,4.89,poco_comun,,2,llana
sacar,4.89,poco_comun,verbo,2,aguda
sentir,4.89,poco_comun,verbo,2,aguda
silencio,4.89,poco_comun,,3,llana
temporada,4.89,poco_comun,,4,llana
terminar,4.89,poco_comun,verbo,3,aguda
comercio,4.88,poco_comun,,3,llana
daño,4.88,poco_comun,,2,llana
esfuerzo,4.88,poco_comun,,3,llana
gratis,4.88,poco_comun,,2,llana
miembro,4.88,poco_comun,,2,llana
médico,4.88,poco_comun,,3,esdrujula
perdido,4.88,poco_comun,,3,llana
producto,4.88,poco_comun,,3,llana
próximo,4.88,poco_comun,,3,esdrujula
salida,4.88,poco_comun,,3,llana
selección,4.88,poco_comun,,3,aguda
aquel,4.87,poco_comun,,2,aguda
contacto,4.87,poco_comun,,3,llana
contar,4.87,poco_comun,verbo,2,aguda
crecimiento,4.87,poco_comun,,4,llana
excelente,4.87,poco_comun,,4,llana
función,4.87,poco_comun,,2,aguda
independencia,4.87,poco_comun,,5,llana
larga,4.87,poco_comun,,2,llana
plazo,4.87,poco_comun,,2,llana
santo,4.87,poco_comun,,2,llana
término,4.87,poco_comun,,3,esdrujula
verdadero,4.87,poco_comun,,4,llana
verde,4.87,poco_comun,,2,llana
voto,4.87,poco_comun,,2,llana
corrupción,4.86,poco_comun,,3,aguda
cruz,4.86,poco_comun,,1,aguda
dormir,4.86,poco_comun,verbo,2,aguda
esperanza,4.86,poco_comun,,4,llana
fiscal,4.86,poco_comun,,2,aguda
hermana,4.86,poco_comun,,3,llana
líder,4.86,poco_comun,verbo,2,llana
rato,4.86,poco_comun,,2,llana
tratar,4.86,poco_comun,verbo,2,aguda
